"Pathway"	"Genes"
"289"	"Pathway.KEGG_Hepatitis B"	"VDAC3, CYCS, CASP9, APAF1, CASP12, CASP3, BAX, BIRC5, PRKCA, PRKCB, PRKCG, ARAF, RAF1, BRAF, MAP2K1, MAP2K2, MAPK1, MAPK3, FOS, JUN, MMP9, MYC, ELK1, STAT3, CREB3, CREB1, ATF2, ATF6B, CREB3L4, ATF4, CREB3L2, CREB3L3, CREB3L1, CREB5, CXCL8, PCNA, JAK1, JAK2, JAK3, TYK2, PTK2B, SRC, GRB2, HRAS, KRAS, NRAS, MAP3K1, MAPK8, MAPK9, MAPK10, NFKB1, RELA, NFKBIA, SMAD4, ATP6AP1, NFATC1, NFATC2, NFATC3, NFATC4, TNF, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, AKT3, AKT1, AKT2, BAD, CHUK, IKBKB, IKBKG, BCL2, DDB1, FAS, FASLG, FADD, CASP8, CASP10, MAP2K4, YWHAQ, YWHAB, YWHAZ, TGFB1, TGFB2, TGFB3, TGFBR1, SMAD3, CDKN1A, CREBBP, EP300, EGR2, EGR3, HSPG2, SLC10A1, TBK1, IKBKE, IRF3, IRF7, TLR3, TICAM1, DDX58, MAVS, IFIH1, IFNAR1, IFNA1, IFNA2, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA21, STAT1, STAT2, IFNB1, IL6, CCNE1, CCNE2, CDK2, TP53, CCNA2, CCNA1, MYD88, DDB2, MAP3K7, IRAK1, TIRAP, TRAF6, TAB1, TAB2, TLR2, TLR4, IRAK4, MAPK14, MAPK11, MAPK13, MAPK12, MAP2K7, MAP2K3, MAP2K6, BID, RB1, DDX3X, TRAF3, TICAM2, STAT4, STAT5A, STAT5B, STAT6, E2F1, E2F2, E2F3, TGFBR2, SOS1, SOS2"
"290"	"Pathway.KEGG_Measles"	"TLR7, TLR9, MYD88, IRAK1, IRAK4, IRF7, IFNA1, IFNA2, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA21, TLR2, TLR4, DDX58, NFKBIA, NFKBIB, NFKB1, RELA, IFIH1, MAVS, IRF3, IFNB1, IFNAR1, IFNAR2, JAK1, TYK2, STAT1, STAT2, IRF9, OAS1, OAS2, OAS3, MSN, CLEC4M, CD209, CD46, SLAMF1, IL2RA, IL2RB, IL2RG, IL2, CD3D, CD3E, CD3G, CD28, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, AKT3, AKT1, AKT2, HSPA1A, HSPA1B, HSPA1L, HSPA2, HSPA6, HSPA8, EIF3H, JAK3, STAT3, STAT5A, STAT5B, IL1A, IL1B, IL6, IL12A, IL12B, MX1, RACK1, CBLB, EIF2AK1, EIF2AK4, EIF2AK2, EIF2AK3, EIF2S1, CHUK, IKBKB, IKBKG, FAS, FASLG, TRAF6, TNFAIP3, FCGR2B, CSNK2A1, CSNK2A2, CSNK2B, CSNK2A3, RCHY1, TP53, TP73, BBC3, RAB9B, RAB9A, CCND1, CCND2, CCND3, CCNE1, CCNE2, CDK2, CDK4, CDK6, CDKN1B, GSK3B, ADAR, MAP3K7, TAB2, IKBKE, TBK1, MAPK8, MAPK9, MAPK10, FOS, JUN, FADD, CASP8, TRADD, BAD, BAX, BAK1, CYCS, CASP3, CASP9, BID, BCL2, BCL2L1, APAF1, TRAF3"
"291"	"Pathway.KEGG_Human cytomegalovirus infection"	"EIF4EBP1, RPS6KB1, RPS6KB2, MTOR, RHEB, TSC2, TSC1, AKT3, AKT1, AKT2, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, EGFR, FASLG, CHUK, IKBKB, IKBKG, NFKB1, RELA, GRB2, SOS1, SOS2, HRAS, KRAS, NRAS, RAF1, MAP2K1, MAP2K2, MAPK1, MAPK3, ITGAV, ITGB3, TNF, TNFRSF1A, FADD, CASP8, FAS, PDGFRA, HLA-A, HLA-B, HLA-C, HLA-E, HLA-F, HLA-G, PTGS2, TRADD, NFKBIA, BAX, BAK1, CYCS, CASP3, STAT3, GNB5, GNB1, GNB2, GNB3, GNG3, GNG4, GNG5, GNG7, GNG10, GNG11, GNGT1, GNGT2, GNG13, GNG2, GNG12, GNB4, GNG8, CASP9, BID, IL6, CXCL8, VEGFA, NFATC1, NFATC2, NFATC3, NFATC4, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, ITPR1, ITPR2, ITPR3, CALML6, CALML5, CALM1, CALM2, CALM3, CALML3, CALML4, PLCB1, PLCB2, PLCB3, PLCB4, GNA11, GNAQ, GNA13, GNA12, RHOA, ROCK1, ROCK2, TAP1, TAP2, TAPBP, CCL2, CCL3L3, CCL3, CCL3L1, CCL4L1, CCL4, CCL4L2, CCL5, CX3CL1, GNAI1, GNAI2, GNAI3, GNAO1, ADCY1, ADCY2, ADCY3, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADCY4, PRKACA, PRKACB, PRKACG, IL6R, JAK1, CCND1, SRC, RAC1, RAC2, RAC3, PTGER1, PTGER2, PTGER3, PTGER4, CTNNB1, GSK3B, MYC, IL1R1, IL1B, CCR1, CCR3, CCR5, CXCL12, CXCR4, PTK2, CRK, CRKL, BCAR1, PXN, PRKCA, PRKCB, PRKCG, PTK2B, IL10RA, IL10RB, CXCR2, MAPK14, MAPK11, MAPK13, MAPK12, CREB3, CREB1, ATF2, ATF6B, CREB3L4, ATF4, CREB3L2, CREB3L3, CREB3L1, CREB5, GNAS, MAP2K6, CDKN2A, CDKN1A, MDM2, TP53, E2F1, E2F2, E2F3, RB1, CDK4, CDK6, ELK1, SP1, RIPK1, TRAF5, TRAF2, AKAP13, ARHGEF12, ARHGEF1, ARHGEF11, PDIA3, CALR, B2M, IFNB1, IFNA1, IFNA2, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA21, TBK1, IRF3, CGAS, STING1"
"292"	"Pathway.KEGG_Influenza A"	"TPSD1, TPSB2, TPSAB1, PLG, PRSS1, PRSS2, PRSS3, DDX58, IFIH1, MAVS, TRIM25, TBK1, IKBKE, TLR3, TICAM1, CHUK, IKBKB, IKBKG, NFKB1, RELA, NFKBIA, NFKBIB, CREBBP, EP300, IRF3, IRF7, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, AKT3, AKT1, AKT2, TLR7, MYD88, IRAK4, NLRP3, PYCARD, CASP1, IL1B, IL18, IL33, IFNAR1, IFNAR2, IFNB1, JAK1, TYK2, STAT1, STAT2, IRF9, MX1, OAS1, OAS2, OAS3, ADAR, PML, CIITA, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQA2, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB3, HLA-DRB4, HLA-DRB5, IFNA1, IFNA2, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA21, SOCS3, CCL5, CXCL8, ICAM1, IL1A, IL6, TNF, IL12A, IL12B, EIF2AK2, DNAJC3, DNAJB1, EIF2S1, RNASEL, TNFSF10, TNFRSF10B, TNFRSF10A, SLC25A4, SLC25A5, SLC25A6, SLC25A31, VDAC1, KPNA6, KPNA1, KPNA2, KPNA5, KPNA7, XPO1, PRKCA, RAF1, MAP2K1, MAP2K2, MAPK1, MAPK3, ACTB, ACTG1, FDPS, RSAD2, CPSF4, BCL2L2-PABPN1, PABPN1L, PABPN1, NXF1, NXF5, NXF3, NXF2, NXF2B, NXT1, NXT2, RAE1, HNRNPUL1, NUP98, CCL2, CXCL10, PRKCB, TMPRSS4, TMPRSS2, TMPRSS11D, FASLG, FAS, NLRX1, RAB11A, RAB11B, IFNG, IFNGR1, IFNGR2, JAK2, TLR4, TNFRSF1A, TRAF3, CCND3, CDK4, CDK6, CALCOCO2, FADD, CASP8, TRADD, BAX, BAK1, CYCS, CASP3, CASP9, BID, APAF1"
"293"	"Pathway.KEGG_Human papillomavirus infection"	"EIF4EBP1, RPS6KB1, RPS6KB2, MTOR, RHEB, TSC2, TSC1, AKT3, AKT1, AKT2, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, EGFR, GSK3B, FASLG, BAD, MDM2, TP53, CCND1, CHUK, IKBKB, IKBKG, NFKB1, RELA, EGF, GRB2, SOS1, SOS2, HRAS, KRAS, NRAS, CDKN1A, CDKN1B, CDK2, RAF1, MAP2K1, MAP2K2, MAPK1, MAPK3, ITGA11, ITGA6, ITGA1, ITGA2, ITGA2B, ITGA3, ITGA4, ITGA5, ITGA7, ITGA9, ITGAV, ITGA10, ITGA8, ITGB1, ITGB3, ITGB4, ITGB5, ITGB6, ITGB7, ITGB8, LAMC3, CHAD, COL1A1, COL1A2, COL2A1, COL4A1, COL4A2, COL4A3, COL4A4, COL4A5, COL4A6, COL6A1, COL6A2, COL6A3, COL9A1, COL9A2, COL9A3, COMP, COL6A6, LAMB4, FN1, COL6A5, LAMA1, TNC, IBSP, LAMA2, LAMA3, LAMA4, LAMA5, LAMB1, LAMB2, LAMB3, LAMC1, LAMC2, RELN, TNN, SPP1, THBS1, THBS2, THBS3, THBS4, TNR, TNXB, VTN, VWF, PTK2, CCNE1, CCNE2, TNF, TNFRSF1A, FADD, CASP8, CASP3, FAS, MAGI1, PTEN, PARD3, PARD6A, PARD6G, PARD6B, PRKCI, PRKCZ, CDC42, SCRIB, DLG1, DLG2, DLG3, LLGL2, LLGL1, CRB3, PATJ, MPP5, PXN, VEGFA, NFX1, UBE3A, TERT, RB1, RBL1, RBL2, E2F1, CCNA2, CCNA1, CDK4, CDK6, CCND2, CCND3, CREBBP, EP300, JAG1, NOTCH1, NOTCH2, NOTCH3, NOTCH4, RBPJL, RBPJ, MAML3, MAML2, MAML1, HES1, HES5, HES3, HES2, HES6, HES4, HES7, HEY1, HEY2, HEYL, TLR3, TICAM1, TRAF3, IKBKE, TBK1, IRF3, IFNB1, PSEN1, LFNG, MFNG, RFNG, IFNA1, IFNA2, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA21, IFNAR1, IFNAR2, TYK2, JAK1, STAT2, STAT1, IRF9, EIF2AK2, OASL, MX1, ISG15, PDGFRB, BCAP31, HLA-A, HLA-B, HLA-C, HLA-E, HLA-F, HLA-G, TCIRG1, ATP6V1G3, ATP6V0E2, ATP6V0A2, ATP6V0D2, ATP6V1C2, ATP6V0A4, ATP6V1D, ATP6V1H, ATP6V1A, ATP6V1B1, ATP6V1B2, ATP6V0C, ATP6V1C1, ATP6V1E1, ATP6V0B, ATP6V1G2, ATP6V0A1, ATP6AP1, ATP6V0E1, ATP6V1E2, ATP6V0D1, ATP6V1F, ATP6V1G1, PTGS2, PTGER4, GNAS, PRKACA, PRKACB, PRKACG, BAX, CREB3, CREB1, CREB3L4, CREB3L2, CREB3L3, CREB3L1, CREB5, PPP2R3B, PPP2R3C, PPP2CA, PPP2CB, PPP2R1A, PPP2R1B, PPP2R2A, PPP2R2B, PPP2R2C, PPP2R3A, PPP2R5A, PPP2R5B, PPP2R5C, PPP2R5D, PPP2R5E, PPP2R2D, FOXO1, SLC9A3R1, FZD10, FZD2, FZD5, FZD3, FZD1, FZD4, FZD6, FZD7, FZD8, FZD9, DVL1, DVL2, DVL3, CTNNB1, AXIN1, AXIN2, APC2, APC, CSNK1A1L, CSNK1A1, TCF7, TCF7L2, TCF7L1, WNT16, WNT4, WNT1, WNT2, WNT3, WNT5A, WNT6, WNT7A, WNT7B, WNT8A, WNT8B, WNT10B, WNT11, WNT2B, WNT9A, WNT9B, WNT10A, WNT5B, WNT3A, TRADD, UBR4, HDAC1, HDAC2, CHD4, IRF1, TBPL2, TBP, TBPL1, TUBG2, TUBG1, ATM, ATR, BAK1, PKM, TADA3, PSMC1"
"294"	"Pathway.KEGG_Human T-cell leukemia virus 1 infection"	"NRP1, SLC2A1, TLN1, TLN2, ICAM1, ITGAL, ITGB2, NFATC1, NFATC2, NFATC3, NFATC4, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, CANX, CALR, IL2RB, IL2RG, JAK1, JAK3, STAT5A, STAT5B, HLA-A, HLA-B, HLA-C, HLA-E, HLA-F, HLA-G, MYC, TRRAP, KAT5, CCND2, FDPS, HRAS, KRAS, NRAS, SLC25A4, SLC25A5, SLC25A6, TSPO, VDAC1, VDAC2, VDAC3, SLC25A31, XPO1, RAN, RANBP3, ADCY1, ADCY2, ADCY3, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADCY4, PRKACA, PRKACB, PRKACG, CREB3, CREB1, ATF2, ATF6B, CREB3L4, ATF4, CREB3L2, CREB3L3, CREB3L1, CREB5, TGFB1, TGFB2, TGFB3, TGFBR1, TGFBR2, SMAD2, SMAD3, SMAD4, CDKN1A, ANAPC10, CDC26, ANAPC2, ANAPC4, ANAPC5, ANAPC7, ANAPC11, ANAPC1, CDC23, CDC16, CDC27, CDC20, CCNB2, PTTG2, PTTG1, BUB1B, MAD2L1, BUB3, MAD1L1, RANBP1, VAC14, TERT, NFKB1, RELA, NFKBIA, IL2, IL2RA, IL15, IL15RA, IL6, CSF2, LTA, NFKB2, RELB, CHUK, MAP3K14, LTBR, CD40, TNFRSF13C, IKBKB, IKBKG, TNFRSF1A, IL1R1, IL1R2, CD3D, CD3E, CD3G, MAP3K1, MAP3K3, MAP2K4, MAPK8, MAPK9, MAPK10, JUN, GPS2, BCL2L1, XIAP, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, AKT3, AKT1, AKT2, CDKN2A, CDKN2B, CDK4, CCND1, CCND3, RB1, E2F1, E2F2, E2F3, SRF, ELK1, ELK4, ETS1, ETS2, SPI1, FOS, EGR1, EGR2, FOSL1, TBPL2, TBP, TBPL1, NFYB, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQA2, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB3, HLA-DRB4, HLA-DRB5, KAT2A, KAT2B, CREBBP, EP300, TCF3, CDKN2C, LCK, POLB, BAX, CRTC2, CRTC1, CRTC3, MSX1, MSX2, ZFP36, CHEK1, CHEK2, ATM, ATR, TNF, MAP2K1, MAP2K2, MAPK1, MAPK3, CD4, B2M, ESPL1, CCNA2, CCNA1, CCNE1, CCNE2, CDK2, TP53, MMP7, PTEN, DLG1"
"295"	"Pathway.KEGG_Kaposi sarcoma-associated herpesvirus infection"	"IFNA1, IFNA2, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA21, IFNB1, TRAF3, IRF7, CHUK, IKBKB, IKBKG, MAPK8, MAPK9, MAPK10, TBK1, IKBKE, AKT3, AKT1, AKT2, STAT1, NFKBIA, IRF3, TLR3, TICAM1, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, IFNAR1, IFNAR2, NFKB1, RELA, FAS, CASP8, BAX, BAK1, CYCS, CASP3, TNFRSF1A, IL6ST, CREBBP, EP300, JAK1, TYK2, STAT2, IRF9, C3, HLA-A, HLA-B, HLA-C, HLA-E, HLA-F, HLA-G, CDKN1A, CDK4, CDK6, RB1, TP53, E2F1, E2F2, E2F3, GSK3B, CTNNB1, JAK2, STAT3, GNB5, GNB1, GNB2, GNB3, GNG3, GNG4, GNG5, GNG7, GNG10, GNG11, GNGT1, GNGT2, GNG13, GNG2, GNG12, GNB4, GNG8, HIF1A, EIF2AK2, CCR3, CCR5, CCR1, CCR4, CCR8, CD200R1, CD200R1L, GABARAP, GABARAPL2, GABARAPL1, ATG3, ATG14, PIK3C3, BECN2, BECN1, TRADD, TRAF2, CASP9, BID, FADD, IL6, CXCL8, PTGS2, CXCL1, CXCL2, CXCL3, RCAN1, FGF2, VEGFA, PDGFB, MTOR, SYK, PLCG1, NFATC1, NFATC2, NFATC3, NFATC4, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, ITPR1, ITPR2, ITPR3, HRAS, KRAS, NRAS, RAF1, MAP2K1, MAP2K2, MAPK1, MAPK3, FOS, JUN, RAC1, PLCG2, ANGPT2, SRC, HCK, LYN, CREB1, CCND1, MYC, CLEC2B, ICAM1, CD86, MICA, MICB, IFNGR1, MAPKAPK2, MAPK14, MAPK11, MAPK13, MAPK12, MAP2K6, CSF2, ZFP36, PIK3R6, PIK3R5, PIK3CG, PREX1, CALML6, CALML5, CALM1, CALM2, CALM3, CALML3, CALML4, UBB, MAP2K7, MAP2K4"
"296"	"Pathway.KEGG_Herpes simplex virus 1 infection"	"LTA, TNFSF14, TNFRSF14, NECTIN1, PILRA, TRAF2, TRAF5, NFKB1, RELA, PTPN11, C3, C5, CFP, TLR3, TLR9, TLR2, TICAM1, MYD88, TAB1, TAB2, MAP3K7, IRF3, IRF7, NFKBIA, IFNA1, IFNA2, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA21, IL12A, IL12B, TNF, IL1B, IL6, CCL2, CCL5, POU2F3, POU2F1, POU2F2, HCFC2, HCFC1, TRAF6, IKBKE, TBK1, DDX58, MAVS, IFIH1, PML, SP100, DAXX, TP53, EIF2AK1, EIF2AK4, EIF2AK2, EIF2AK3, EIF2S1, PPP1CA, PPP1CB, PPP1CC, OAS1, OAS2, OAS3, RNASEL, ALYREF, NXF1, NXF5, NXF3, NXF2, NXF2B, IFNAR1, IFNAR2, IFNGR1, IFNGR2, IFNB1, JAK1, TYK2, STAT1, STAT2, IRF9, JAK2, IFNG, SRPK1, SRSF8, SRSF1, SRSF2, SRSF3, SRSF4, SRSF5, SRSF6, SRSF7, SRSF9, SOCS3, CD74, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQA2, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB3, HLA-DRB4, HLA-DRB5, FAS, TNFRSF1A, FASLG, FADD, CASP8, CHUK, IKBKB, IKBKG, BIRC2, BIRC3, IRAK4, IRAK1, TRAF3, CGAS, STING1, HLA-A, HLA-B, HLA-C, HLA-E, HLA-F, HLA-G, TAP1, TAP2, TAPBP, PDIA3, CALR, B2M, TRADD, AKT3, AKT1, AKT2, TSC1, TSC2, RHEB, MTOR, EIF4EBP1, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, BAD, ITGA5, ITGB3, SRC, SYK, CARD9, ZNF730, ZNF737, ZNF316, ZNF705E, ZNF717, ZNF729, ZNF605, ZNF783, ZNF559-ZNF177, ZNF891, ZNF256, ZNF443, ZNF267, ZNF211, ZNF234, ZNF273, ZNF460, ZNF268, ZNF275, ZNF257, ZIM3, ZNF554, ZNF689, ZNF354B, ZNF641, ZNF816, ZNF543, ZNF813, ZNF440, ZNF57, ZNF792, ZNF684, ZNF786, ZFP92, ZFP28, ZFP90, ZNF597, ZNF785, ZNF688, ZNF480, ZNF534, ZNF418, ZNF417, ZNF548, ZNF560, ZNF563, ZNF420, ZNF565, ZNF582, ZNF583, ZNF599, ZNF558, ZNF98, ZNF714, ZNF555, ZNF569, ZNF570, ZNF595, ZNF425, ZNF746, ZNF782, ZFP1, ZNF519, ZNF836, ZNF610, ZNF600, ZNF320, ZNF550, ZNF846, ZNF791, ZNF564, ZNF709, ZNF433, ZNF114, ZNF567, ZNF383, ZNF780B, ZNF676, ZNF100, ZNF540, ZNF679, ZNF596, ZNF169, ZNF431, ZNF721, ZNF675, ZNF778, ZNF627, ZNF585A, ZNF584, ZNF25, ZFP30, ZNF510, ZNF620, ZNF718, ZNF549, ZNF324, ZNF473, ZNF658, ZNF337, ZNF285, ZNF777, ZNF544, ZNF311, ZNF547, ZIK1, ZNF780A, ZNF283, ZNF615, ZNF841, ZNF763, ZFP82, ZNF875, ZNF619, ZNF621, ZNF454, ZNF707, ZNF354C, ZNF181, ZNF546, ZFP69, ZNF680, ZNF517, ZNF850, ZNF404, ZNF284, ZNF677, ZNF860, ZNF879, ZFP57, ZNF81, ZNF530, ZNF713, ZNF429, ZNF233, ZNF699, ZNF829, ZNF568, ZNF773, ZNF790, ZNF761, ZNF470, ZNF749, ZNF324B, ZNF662, ZNF793, ZNF772, ZNF705A, ZNF506, ZNF716, ZNF727, ZNF571, ZNF589, ZNF107, ZNF44, ZNF853, ZNF562, ZSCAN32, ZNF331, ZNF823, ZNF416, ZNF334, ZNF701, ZNF83, ZNF415, ZNF302, ZNF253, ZNF248, ZNF630, ZNF286A, ZNF304, ZNF490, ZNF398, ZNF624, ZNF471, ZNF492, ZFP14, ZNF317, ZNF529, RBAK, ZNF77, ZNF250, ZNF350, ZNF667, ZNF674, ZNF806, ZFP69B, ZNF649, ZNF354A, ZNF736, ZNF705D, ZNF878, ZNF814, ZNF726, ZNF735, ZFP37, ZNF2, ZNF3, ZNF7, ZNF8, ZNF10, ZNF12, ZNF14, ZNF708, ZNF17, ZNF19, ZNF20, ZNF182, ZNF23, ZNF26, ZNF33A, ZNF33B, ZNF37A, ZNF41, ZNF43, ZNF45, ZNF74, ZNF79, ZNF84, ZNF221, ZNF85, ZNF90, ZNF91, ZNF99, ZNF222, ZNF124, ZNF132, ZNF133, ZNF135, ZNF136, ZNF140, ZNF141, ZNF154, ZNF155, ZNF157, ZNF175, ZNF177, ZNF180, ZNF184, ZNF189, ZNF195, ZNF200, ZNF205, ZNF208, ZNF214, ZNF223, ZNF224, ZNF225, ZNF226, ZNF227, ZNF112, ZNF229, ZNF230, ZNF426, ZNF343, ZNF557, ZNF768, ZNF419, ZNF665, ZNF552, ZNF669, ZNF212, ZNF671, ZNF613, ZNF442, ZNF556, ZNF606, ZNF614, ZNF430, ZNF34, ZNF436, ZNF611, ZNF93, ZNF484, ZNF282, ZNF528, ZNF333, ZNF527, ZNF559, ZNF347, ZNF577, ZNF607, ZNF514, ZNF382, ZNF587, ZNF566, ZNF30, ZNF551, ZNF616, ZNF766, ZNF468, ZNF160, ZNF799, ZNF700, ZNF439, ZNF486, ZNF479, ZNF251, ZNF682, ZNF765, ZNF845, ZNF300, ZNF461, ZNF585B, ZNF764, ZNF235, ZNF561, ZNF670, ZNF101, ZNF264, ZNF254, ZNF432, ZNF623, BST2, BAX, BAK1, CYCS, CASP3, CASP9, BID, BCL2, BCL2L1, EIF2B1, EIF2B4, EIF2B3, EIF2B2, EIF2B5, APAF1"
"297"	"Pathway.KEGG_Epstein-Barr virus infection"	"CR2, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQA2, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB3, HLA-DRB4, HLA-DRB5, RBPJL, RBPJ, SNW1, NCOR2, FCER2, MYC, HDAC1, HDAC2, CDKN1B, SKP2, RB1, USP7, TP53, TRADD, RIPK1, TRAF3, TRAF5, NFKBIA, NFKBIB, NFKBIE, MAP3K14, CHUK, NFKB1, RELA, TRAF6, TAB1, TAB2, NFKB2, RELB, ENTPD8, ENTPD1, ENTPD3, CD40, CD44, ITGAL, CD58, ICAM1, BCL2, TNFAIP3, MAP3K7, MAP2K7, MAP2K4, MAP2K3, MAP2K6, MAPK8, MAPK9, MAPK10, MAPK14, MAPK11, MAPK13, MAPK12, JUN, JAK3, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, AKT3, AKT1, AKT2, LYN, SYK, LOC102723407, PLCG2, NEDD4, DDX58, TBK1, IRF3, EIF2AK2, VIM, PSMD14, ADRM1, PSMC1, PSMC2, PSMC3, PSMC4, PSMC5, PSMC6, PSMD1, PSMD2, PSMD3, PSMD4, PSMD7, PSMD8, PSMD11, PSMD12, PSMD13, SEM1, PSMD6, HLA-A, HLA-B, HLA-C, HLA-E, HLA-F, HLA-G, TAP1, TAP2, TAPBP, PDIA3, CALR, B2M, SIN3A, SAP30, CIR1, HES1, RUNX3, MDM2, CDKN1A, GADD45G, GADD45A, GADD45B, BAX, BAK1, DDB2, POLK, CDK2, CCNA2, CCNA1, CCNE1, CCNE2, E2F1, E2F2, E2F3, CDK4, CDK6, CCND1, CCND2, CCND3, TRAF2, STAT1, STAT3, RAC1, BTK, BLNK, MAVS, IKBKE, IRF7, IFNB1, IFNA1, IFNA2, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA21, IFNAR1, IFNAR2, JAK1, TYK2, STAT2, IRF9, TNF, IL6, TLR2, OAS1, OAS2, OAS3, CXCL10, ISG15, MYD88, IRAK1, IRAK4, IKBKB, IKBKG, FADD, CASP3, CASP8, BCL2L11, FAS, CYCS, APAF1, CASP9, BID, CD3D, CD3E, CD3G, CD247, CD19"
"298"	"Pathway.KEGG_Human immunodeficiency virus 1 infection"	"RPS6KB1, RPS6KB2, MTOR, AKT3, AKT1, AKT2, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, NFKB1, RELA, HRAS, KRAS, NRAS, RAF1, MAP2K1, MAP2K2, MAPK1, MAPK3, FADD, CASP8, FAS, HLA-A, HLA-B, HLA-C, HLA-E, HLA-F, HLA-G, TRADD, CHUK, IKBKB, IKBKG, BAX, BAK1, CYCS, CASP3, TNFRSF1A, GNB5, GNB1, GNB2, GNB3, GNG3, GNG4, GNG5, GNG7, GNG10, GNG11, GNGT1, GNGT2, GNG13, GNG2, GNG12, GNB4, GNG8, CASP9, BID, NFATC1, NFATC2, NFATC3, NFATC4, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, CALML6, CALML5, CALM1, CALM2, CALM3, CALML3, CALML4, GNA11, GNAQ, TAP1, TAP2, TAPBP, GNAI1, GNAI2, GNAI3, GNAO1, TNF, CXCR4, PTK2, CRK, CRKL, PXN, PRKCA, PRKCB, PRKCG, PTK2B, RIPK1, TRAF5, TRAF2, PDIA3, CALR, B2M, ITPR1, ITPR2, ITPR3, IFNB1, IFNA1, IFNA2, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA21, TBK1, IRF3, CGAS, STING1, CD4, CCR5, MYD88, MAP3K7, MAPK14, MAPK11, MAPK13, MAPK12, IRAK1, MAPK8, MAPK9, MAPK10, TRAF6, TAB1, TAB2, NFKBIA, TLR2, TLR4, IRAK4, FOS, JUN, FASLG, CDK1, ATM, ATR, CHEK1, CDC25C, CCNB3, CCNB1, CCNB2, BAD, PLCG1, PLCG2, CFL1, CFL2, LIMK1, LIMK2, PAK4, BUB1B-PAK6, PAK1, PAK2, PAK3, PAK6, PAK5, RAC1, RAC2, RAC3, APOBEC3A_B, APOBEC3D, APOBEC3H, APOBEC3A, APOBEC3F, APOBEC3C, APOBEC3G, APOBEC3B, SAMHD1, TRIM5, BST2, MAP2K3, MAP2K6, MAP2K7, CD3D, CD3E, CD3G, CD247, BCL2, BCL2L1, WEE2, WEE1, CUL4B, CUL4A, DDB1, DCAF1, ELOB, CUL5, ELOC, RNF7, AP1M2, AP1S1, AP1S3, AP1B1, AP1G1, AP1S2, AP1G2, AP1M1, TNFRSF1B, FBXW11, SKP1, CUL1, BTRC, RBX1"
